## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz'
Description = 'Observed data from Station Chemnitz'
Source      = 'Your Data Source'
Contact     = 'Your Contact'
Longitude = 12.92; Latitude = 50.83; Elevation = 300; AngstromA = 0.25; AngstromB = 0.50; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
2009-01-01,2660000.0,-2.8,1.7,5.4,2.4,0.0,
2009-01-02,2610000.0,-8.0,1.3,5.0,2.2,0.0,
2009-01-03,1370000.0,-8.0,3.0,5.1,4.4,0.42000000000000004,
2009-01-04,720000.0,0.4,3.9,6.8,6.0,0.64,
2009-01-05,1870000.0,-8.1,0.5,4.1,3.7,0.0,
2009-01-06,3950000.0,-10.8,-2.3,3.0,1.2,0.0,
2009-01-07,1610000.0,-10.4,0.4,4.3,3.6,0.04,
2009-01-08,2230000.0,-11.1,-4.5,3.5,1.5,0.0,
2009-01-09,850000.0,-7.1,-0.7,4.4,2.0,0.0,
2009-01-10,4010000.0,-7.3,1.8,4.5,2.0,0.0,
2009-01-11,3620000.0,-6.0,1.8,3.8,3.9,0.0,
2009-01-12,2710000.0,-1.8,7.1,4.1,5.2,0.05,
2009-01-13,590000.0,3.4,6.4,7.6,4.6,0.71,
2009-01-14,620000.0,2.6,4.1,7.8,2.2,0.06999999999999999,
2009-01-15,1380000.0,1.2,3.3,7.1,1.9,0.0,
2009-01-16,2250000.0,0.0,2.2,6.0,4.9,0.0,
2009-01-17,1470000.0,0.2,5.2,6.6,3.5,0.09,
2009-01-18,630000.0,2.1,5.8,7.3,5.7,0.15,
2009-01-19,1470000.0,1.1,7.4,6.7,5.7,0.21000000000000002,
2009-01-20,2380000.0,-0.4,6.2,6.3,4.6,0.0,
2009-01-21,3720000.0,-2.6,4.5,5.8,2.1,0.0,
2009-01-22,2810000.0,-1.2,5.0,5.8,5.6,0.05,
2009-01-23,510000.0,0.7,4.1,6.5,5.6,1.21,
2009-01-24,2120000.0,1.6,5.8,7.3,5.4,0.02,
2009-01-25,4630000.0,-0.6,5.2,6.2,3.2,0.0,
2009-01-26,1730000.0,-3.8,0.5,5.3,3.0,0.0,
2009-01-27,1260000.0,-2.9,-0.5,5.2,2.5,0.0,
2009-01-28,1630000.0,-3.5,-1.2,5.1,2.7,0.0,
2009-01-29,4310000.0,-3.0,1.1,4.9,3.9,0.0,
2009-01-30,2270000.0,-3.2,-0.1,4.6,4.7,0.0,
2009-01-31,3350000.0,-1.7,2.8,5.3,4.2,0.0,
2009-02-01,1870000.0,-3.8,0.8,4.1,6.6,0.0,
2009-02-02,1890000.0,-1.0,2.6,5.1,7.5,0.0,
2009-02-03,1730000.0,1.0,2.4,5.9,3.8,0.0,
2009-02-04,1390000.0,0.4,2.1,6.2,1.6,0.03,
2009-02-05,2000000.0,0.3,5.1,6.8,2.6,0.01,
2009-02-06,6050000.0,3.0,9.4,7.8,3.2,0.0,
2009-02-07,1320000.0,-3.8,4.1,6.8,2.3,0.04,
2009-02-08,5150000.0,-3.1,5.7,5.7,4.4,0.03,
2009-02-09,1840000.0,-2.7,2.1,5.9,3.5,0.52,
2009-02-10,1650000.0,0.2,4.0,6.5,5.4,0.1,
2009-02-11,4810000.0,-2.7,4.4,5.9,4.7,0.01,
2009-02-12,5890000.0,-3.7,3.9,5.3,3.8,0.05,
2009-02-13,3220000.0,-2.9,2.8,6.0,3.3,0.2,
