DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
01.01.2009,2660000.0,-2.8,1.7,5.4,2.4,0.0,
02.01.2009,2610000.0,-8.0,1.3,5.0,2.2,0.0,
03.01.2009,1370000.0,-8.0,3.0,5.1,4.4,0.42000000000000004,
04.01.2009,720000.0,0.4,3.9,6.8,6.0,0.64,
05.01.2009,1870000.0,-8.1,0.5,4.1,3.7,0.0,
06.01.2009,3950000.0,-10.8,-2.3,3.0,1.2,0.0,
07.01.2009,1610000.0,-10.4,0.4,4.3,3.6,0.04,
08.01.2009,2230000.0,-11.1,-4.5,3.5,1.5,0.0,
09.01.2009,850000.0,-7.1,-0.7,4.4,2.0,0.0,
10.01.2009,4010000.0,-7.3,1.8,4.5,2.0,0.0,
11.01.2009,3620000.0,-6.0,1.8,3.8,3.9,0.0,
12.01.2009,2710000.0,-1.8,7.1,4.1,5.2,0.05,
13.01.2009,590000.0,3.4,6.4,7.6,4.6,0.71,
14.01.2009,620000.0,2.6,4.1,7.8,2.2,0.06999999999999999,
15.01.2009,1380000.0,1.2,3.3,7.1,1.9,0.0,
16.01.2009,2250000.0,0.0,2.2,6.0,4.9,0.0,
17.01.2009,1470000.0,0.2,5.2,6.6,3.5,0.09,
18.01.2009,630000.0,2.1,5.8,7.3,5.7,0.15,
19.01.2009,1470000.0,1.1,7.4,6.7,5.7,0.21000000000000002,
20.01.2009,2380000.0,-0.4,6.2,6.3,4.6,0.0,
21.01.2009,3720000.0,-2.6,4.5,5.8,2.1,0.0,
22.01.2009,2810000.0,-1.2,5.0,5.8,5.6,0.05,
23.01.2009,510000.0,0.7,4.1,6.5,5.6,1.21,
24.01.2009,2120000.0,1.6,5.8,7.3,5.4,0.02,
25.01.2009,4630000.0,-0.6,5.2,6.2,3.2,0.0,
26.01.2009,1730000.0,-3.8,0.5,5.3,3.0,0.0,
27.01.2009,1260000.0,-2.9,-0.5,5.2,2.5,0.0,
28.01.2009,1630000.0,-3.5,-1.2,5.1,2.7,0.0,
29.01.2009,4310000.0,-3.0,1.1,4.9,3.9,0.0,
30.01.2009,2270000.0,-3.2,-0.1,4.6,4.7,0.0,
31.01.2009,3350000.0,-1.7,2.8,5.3,4.2,0.0,
01.02.2009,1870000.0,-3.8,0.8,4.1,6.6,0.0,
02.02.2009,1890000.0,-1.0,2.6,5.1,7.5,0.0,
03.02.2009,1730000.0,1.0,2.4,5.9,3.8,0.0,
04.02.2009,1390000.0,0.4,2.1,6.2,1.6,0.03,
05.02.2009,2000000.0,0.3,5.1,6.8,2.6,0.01,
06.02.2009,6050000.0,3.0,9.4,7.8,3.2,0.0,
07.02.2009,1320000.0,-3.8,4.1,6.8,2.3,0.04,
08.02.2009,5150000.0,-3.1,5.7,5.7,4.4,0.03,
09.02.2009,1840000.0,-2.7,2.1,5.9,3.5,0.52,
10.02.2009,1650000.0,0.2,4.0,6.5,5.4,0.1,
11.02.2009,4810000.0,-2.7,4.4,5.9,4.7,0.01,
12.02.2009,5890000.0,-3.7,3.9,5.3,3.8,0.05,
13.02.2009,3220000.0,-2.9,2.8,6.0,3.3,0.2,
14.02.2009,6110000.0,-6.8,1.1,4.5,2.7,0.0,
15.02.2009,2640000.0,-3.9,2.1,5.6,3.9,0.26,
16.02.2009,2590000.0,2.0,5.6,8.1,3.1,0.6799999999999999,
17.02.2009,7300000.0,-3.5,4.8,5.2,4.3,0.0,
18.02.2009,6870000.0,-6.1,1.4,4.3,1.3,0.0,
19.02.2009,3460000.0,-4.1,2.3,5.3,3.5,0.22999999999999998,
20.02.2009,2020000.0,1.8,5.8,7.5,3.9,0.0,
21.02.2009,3150000.0,2.1,6.5,7.5,3.7,0.33999999999999997,
22.02.2009,2360000.0,4.6,8.3,8.4,6.2,0.1,
23.02.2009,2470000.0,3.1,5.8,7.5,7.0,0.04,
24.02.2009,7140000.0,0.5,5.6,6.7,2.9,0.01,
25.02.2009,3130000.0,3.1,6.4,7.6,5.3,0.12,
26.02.2009,3620000.0,5.1,9.1,8.4,7.3,1.1300000000000001,
27.02.2009,3360000.0,2.1,7.6,8.8,4.3,0.15,
28.02.2009,3160000.0,6.5,9.6,10.0,2.1,0.49000000000000005,
01.03.2009,3950000.0,5.6,10.2,9.9,2.2,0.06999999999999999,
02.03.2009,1260000.0,4.5,8.0,8.8,3.8,0.0,
03.03.2009,6850000.0,0.3,9.4,7.0,3.8,0.0,
04.03.2009,10800000.0,2.3,10.8,6.7,6.0,0.0,
05.03.2009,1820000.0,1.0,7.2,7.8,3.2,0.12,
06.03.2009,1530000.0,3.7,5.8,7.8,4.0,0.22000000000000003,
07.03.2009,5840000.0,3.2,8.1,7.0,4.0,0.02,
08.03.2009,5460000.0,1.2,10.0,7.8,5.1,0.22000000000000003,
09.03.2009,4510000.0,1.9,6.2,7.2,6.7,0.38,
10.03.2009,3830000.0,2.4,7.0,7.5,3.7,0.65,
11.03.2009,8590000.0,0.3,9.1,7.3,4.4,0.03,
12.03.2009,1480000.0,2.0,8.8,8.4,4.1,0.3,
13.03.2009,10110000.0,1.7,11.5,8.1,3.8,0.0,
14.03.2009,5650000.0,3.3,12.5,8.9,3.4,0.11000000000000001,
15.03.2009,3710000.0,5.1,8.2,9.1,5.8,0.31,
16.03.2009,3760000.0,5.4,8.6,8.9,2.7,0.0,
17.03.2009,12780000.0,1.4,10.6,7.8,5.9,0.0,
18.03.2009,10740000.0,-0.8,9.8,6.7,3.6,0.0,
19.03.2009,13330000.0,1.0,10.2,6.2,3.6,0.0,
20.03.2009,15650000.0,-0.7,8.5,5.0,2.2,0.0,
21.03.2009,15360000.0,-2.7,10.7,5.5,3.0,0.0,
22.03.2009,6900000.0,4.9,9.9,8.1,7.9,0.11000000000000001,
23.03.2009,3200000.0,1.2,7.4,8.0,8.9,0.85,
24.03.2009,12050000.0,-3.3,6.6,5.4,6.2,0.01,
25.03.2009,2470000.0,-1.4,4.3,6.2,3.5,0.64,
26.03.2009,4440000.0,1.9,7.9,8.5,4.7,0.44000000000000006,
27.03.2009,12980000.0,4.3,9.8,7.2,5.7,0.11000000000000001,
28.03.2009,5100000.0,2.3,9.3,7.8,4.7,0.27999999999999997,
29.03.2009,8800000.0,-0.6,9.8,7.5,3.6,0.0,
30.03.2009,17960000.0,-2.1,11.2,5.9,2.0,0.0,
31.03.2009,16300000.0,-1.0,13.6,7.0,1.7,0.0,
01.04.2009,18090000.0,0.9,15.1,9.3,3.2,0.0,
02.04.2009,18230000.0,4.2,17.8,8.7,4.4,0.0,
03.04.2009,18560000.0,4.5,21.1,9.2,2.9,0.0,
04.04.2009,9120000.0,4.1,15.1,10.3,3.3,0.0,
05.04.2009,15030000.0,5.0,14.5,9.0,2.3,0.0,
06.04.2009,12820000.0,5.5,18.4,9.8,3.3,0.0,
07.04.2009,16040000.0,9.7,23.1,11.4,3.8,0.6799999999999999,
08.04.2009,13880000.0,7.5,17.1,10.4,4.3,0.01,
09.04.2009,15790000.0,3.3,17.3,10.3,2.2,0.0,
10.04.2009,19690000.0,9.3,22.4,11.2,4.5,0.0,
11.04.2009,18960000.0,10.4,22.9,11.2,3.6,0.0,
12.04.2009,19560000.0,8.0,21.9,9.6,3.2,0.0,
13.04.2009,19460000.0,7.9,21.7,10.3,2.4,0.0,
14.04.2009,19090000.0,5.3,22.1,11.4,1.6,0.0,
15.04.2009,20070000.0,8.5,22.7,10.6,3.5,0.0,
16.04.2009,20750000.0,9.1,22.3,9.1,5.4,0.01,
17.04.2009,21370000.0,6.2,16.9,8.2,6.4,0.0,
18.04.2009,22970000.0,4.9,18.2,6.9,5.6,0.0,
19.04.2009,22230000.0,3.7,17.6,7.9,3.7,0.0,
20.04.2009,23020000.0,3.6,19.0,6.9,2.6,0.0,
21.04.2009,23440000.0,3.3,20.7,7.3,1.9,0.0,
22.04.2009,10250000.0,4.1,13.0,9.0,5.5,0.2,
23.04.2009,20230000.0,4.9,17.3,9.4,3.4,0.0,
24.04.2009,22980000.0,4.3,20.2,7.7,3.2,0.0,
25.04.2009,22260000.0,10.1,21.9,8.8,5.1,0.0,
26.04.2009,20870000.0,10.2,24.0,10.5,3.1,0.04,
27.04.2009,14030000.0,8.8,17.2,11.1,4.0,1.0,
28.04.2009,5890000.0,7.8,14.7,12.3,2.6,0.0,
29.04.2009,5420000.0,6.6,12.6,11.0,2.5,0.18,
30.04.2009,20190000.0,7.2,20.2,12.3,2.9,0.0,
01.05.2009,23210000.0,9.0,21.2,11.5,2.2,0.0,
02.05.2009,20540000.0,5.8,20.6,10.6,2.8,0.0,
03.05.2009,8160000.0,8.3,16.1,11.0,3.6,0.01,
04.05.2009,18520000.0,6.3,14.3,8.0,4.5,0.22000000000000003,
05.05.2009,8690000.0,7.4,13.4,10.4,5.2,0.65,
06.05.2009,13470000.0,8.5,15.2,10.9,6.5,0.06999999999999999,
07.05.2009,14860000.0,9.0,17.1,11.8,4.2,0.29,
08.05.2009,14280000.0,5.8,18.0,11.1,4.4,0.22000000000000003,
09.05.2009,22910000.0,5.0,17.8,8.6,3.2,0.0,
10.05.2009,24530000.0,4.1,19.7,9.0,2.5,0.0,
11.05.2009,19900000.0,6.1,16.4,9.1,5.4,0.0,
12.05.2009,24810000.0,4.7,17.7,8.0,4.8,0.0,
13.05.2009,27930000.0,5.3,18.8,7.2,5.3,0.0,
14.05.2009,22260000.0,7.9,19.3,7.6,5.6,0.0,
15.05.2009,8190000.0,10.5,15.7,9.2,5.7,1.08,
16.05.2009,20080000.0,9.2,17.3,10.6,3.7,0.02,
17.05.2009,11860000.0,10.2,18.1,12.5,3.7,0.04,
18.05.2009,21650000.0,7.8,20.0,10.8,3.6,0.0,
19.05.2009,21140000.0,5.6,21.1,10.7,2.4,0.35,
20.05.2009,20310000.0,8.8,20.5,12.0,2.6,0.0,
21.05.2009,16700000.0,7.9,22.1,12.5,3.2,0.12,
22.05.2009,16730000.0,5.5,17.1,10.4,3.2,0.5700000000000001,
23.05.2009,27830000.0,5.3,20.5,10.0,2.1,0.0,
24.05.2009,26930000.0,9.4,23.0,11.6,4.1,0.0,
25.05.2009,25340000.0,10.6,23.5,10.5,2.6,0.06999999999999999,
26.05.2009,19880000.0,10.8,25.9,14.4,6.2,0.03,
27.05.2009,19300000.0,7.8,18.5,9.4,6.4,0.13,
28.05.2009,25750000.0,7.9,18.1,10.2,6.9,0.0,
29.05.2009,29580000.0,6.7,21.6,8.9,4.9,0.0,
30.05.2009,23050000.0,8.9,21.9,10.4,5.2,0.0,
31.05.2009,20260000.0,11.8,24.9,12.9,4.1,0.03,
01.06.2009,28150000.0,11.7,25.5,12.4,4.5,0.0,
02.06.2009,25780000.0,9.6,20.9,11.7,6.4,0.0,
03.06.2009,20420000.0,6.4,15.7,8.3,7.7,0.0,
04.06.2009,16510000.0,5.5,14.8,8.6,5.7,0.11000000000000001,
05.06.2009,16560000.0,3.6,14.9,8.1,3.7,0.0,
06.06.2009,16650000.0,5.9,17.3,8.4,4.1,0.48,
07.06.2009,9850000.0,9.2,13.9,11.4,3.1,1.51,
08.06.2009,14790000.0,9.0,18.0,11.5,3.3,0.02,
09.06.2009,12270000.0,11.3,20.0,13.3,3.4,0.8699999999999999,
10.06.2009,13400000.0,12.2,19.1,12.8,4.6,1.1199999999999999,
11.06.2009,8210000.0,7.7,14.3,12.0,5.6,0.58,
12.06.2009,23660000.0,8.6,16.0,10.1,6.8,0.1,
13.06.2009,24790000.0,6.3,18.7,9.9,4.2,0.0,
14.06.2009,15460000.0,6.3,22.5,13.6,2.7,0.0,
15.06.2009,9670000.0,9.5,17.2,12.4,2.6,0.0,
16.06.2009,19610000.0,4.9,17.6,10.2,2.7,0.0,
17.06.2009,28740000.0,4.9,21.2,10.6,2.3,0.0,
18.06.2009,18590000.0,11.9,21.5,12.6,4.1,0.03,
19.06.2009,18260000.0,9.0,18.0,11.9,4.7,0.55,
20.06.2009,17270000.0,8.5,18.1,11.7,3.8,0.4,
21.06.2009,17350000.0,8.5,17.0,11.3,2.9,0.7,
22.06.2009,20250000.0,5.8,19.9,11.8,3.1,0.0,
23.06.2009,29790000.0,11.7,23.4,12.7,4.5,0.0,
24.06.2009,29880000.0,12.8,24.0,12.3,5.3,0.0,
25.06.2009,20860000.0,13.1,24.2,14.8,4.8,0.0,
26.06.2009,12990000.0,16.7,24.9,18.3,4.9,0.0,
27.06.2009,13460000.0,16.3,22.5,16.7,4.2,0.01,
28.06.2009,19970000.0,13.5,21.7,15.0,3.4,0.0,
29.06.2009,24440000.0,12.7,26.4,16.0,2.1,0.0,
30.06.2009,24950000.0,14.4,27.2,18.0,2.5,0.0,
01.07.2009,25120000.0,15.1,28.4,19.0,3.4,0.0,
02.07.2009,25090000.0,16.5,29.3,19.0,3.0,0.0,
03.07.2009,23800000.0,17.6,31.7,18.8,3.0,1.7899999999999998,
04.07.2009,15370000.0,12.9,25.2,17.3,4.3,0.0,
05.07.2009,29080000.0,11.3,26.0,14.7,2.8,0.08,
06.07.2009,20270000.0,13.8,25.2,15.8,3.4,0.45,
07.07.2009,23280000.0,11.9,23.2,13.4,4.9,0.0,
08.07.2009,13220000.0,12.4,20.6,14.6,4.4,0.77,
09.07.2009,16710000.0,11.4,17.9,12.8,5.7,0.06999999999999999,
10.07.2009,6390000.0,11.2,15.3,13.1,6.7,0.51,
11.07.2009,14590000.0,10.0,17.8,12.4,4.3,0.61,
12.07.2009,9510000.0,9.0,19.3,15.5,2.8,0.27,
13.07.2009,24220000.0,11.0,23.7,14.7,3.0,0.12,
14.07.2009,24210000.0,15.0,26.8,15.8,2.1,0.0,
15.07.2009,24080000.0,15.3,27.1,16.0,3.4,0.0,
16.07.2009,27660000.0,13.1,26.4,13.2,2.8,0.0,
17.07.2009,11210000.0,15.4,23.5,16.9,2.9,1.64,
18.07.2009,14580000.0,14.5,20.3,15.0,4.6,0.01,
19.07.2009,20910000.0,12.0,21.5,14.3,3.7,0.79,
20.07.2009,18080000.0,12.4,20.5,13.7,5.1,1.04,
21.07.2009,23490000.0,10.1,24.7,14.3,2.3,0.15,
22.07.2009,13150000.0,16.0,25.5,19.6,3.4,0.18,
23.07.2009,8720000.0,13.7,20.3,18.2,3.0,0.8099999999999999,
24.07.2009,17590000.0,12.3,22.2,15.1,3.9,0.25,
25.07.2009,17010000.0,10.7,19.7,14.6,5.4,1.6600000000000001,
26.07.2009,19370000.0,9.6,23.1,13.8,2.9,0.0,
27.07.2009,23070000.0,14.6,27.7,14.7,4.3,0.1,
28.07.2009,18500000.0,11.5,22.5,14.2,3.6,0.0,
29.07.2009,19660000.0,13.6,25.8,13.3,3.5,0.26,
30.07.2009,20130000.0,10.8,21.7,14.3,5.9,0.16999999999999998,
