DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
18900101,2660000.0,-5.5,-1.4,4.4,NaN,0.02,NaN
18900102,2610000.0,-7.4,-3.3,4.1,NaN,0.0,NaN
18900103,1370000.0,-3.5,-1.3,5.2,NaN,0.0,NaN
18900104,720000.0,-1.9,5.7,6.5,NaN,0.0,NaN
18900105,1870000.0,0.2,7.7,7.2,NaN,0.11000000000000001,NaN
18900106,3950000.0,6.0,9.6,10.3,NaN,0.0,NaN
18900107,1610000.0,5.8,12.4,9.6,NaN,0.0,NaN
18900108,2230000.0,1.8,8.2,7.2,NaN,0.0,NaN
18900109,850000.0,0.1,5.5,6.8,NaN,0.42000000000000004,NaN
18900110,4010000.0,3.0,9.5,8.9,NaN,0.22000000000000003,NaN
18900111,3620000.0,2.9,5.5,6.7,NaN,0.0,NaN
18900112,2710000.0,1.5,7.3,7.6,NaN,0.6900000000000001,NaN
18900113,590000.0,0.8,6.2,7.5,NaN,0.24,NaN
18900114,620000.0,1.1,6.5,7.2,NaN,0.01,NaN
18900115,1380000.0,2.2,8.5,8.1,NaN,0.06,NaN
18900116,2250000.0,1.6,8.1,9.3,NaN,0.04,NaN
18900117,1470000.0,5.0,6.2,8.0,NaN,0.0,NaN
18900118,630000.0,0.0,6.1,6.8,NaN,0.16,NaN
18900119,1470000.0,3.9,10.1,8.9,NaN,0.16,NaN
18900120,2380000.0,1.0,7.2,6.9,NaN,0.32,NaN
18900121,3720000.0,0.7,4.5,6.4,NaN,0.0,NaN
18900122,2810000.0,0.0,4.3,6.3,NaN,0.2,NaN
18900123,510000.0,0.6,6.2,7.1,NaN,0.78,NaN
18900124,2120000.0,1.2,6.2,6.7,NaN,0.27999999999999997,NaN
18900125,4630000.0,0.4,11.2,9.6,NaN,0.25,NaN
18900126,1730000.0,5.4,10.7,7.6,NaN,1.3900000000000001,NaN
18900127,1260000.0,5.0,7.6,7.6,NaN,0.12,NaN
18900128,1630000.0,2.0,5.5,6.8,NaN,0.09,NaN
18900129,4310000.0,-0.4,4.2,5.1,NaN,0.0,NaN
18900130,2270000.0,-1.4,3.1,6.3,NaN,0.0,NaN
18900131,3350000.0,-3.7,1.3,5.1,NaN,0.0,NaN
18900201,1870000.0,-2.1,3.8,4.1,NaN,0.0,NaN
18900202,1890000.0,-2.4,3.8,4.5,NaN,0.0,NaN
18900203,1730000.0,-1.7,2.3,6.3,NaN,0.0,NaN
18900204,1390000.0,-2.5,1.5,5.2,NaN,0.0,NaN
18900205,2000000.0,-2.4,-0.7,4.7,NaN,0.0,NaN
18900206,6050000.0,-1.9,2.5,6.1,NaN,0.0,NaN
18900207,1320000.0,-1.9,3.6,5.1,NaN,0.0,NaN
18900208,5150000.0,-4.0,3.5,6.3,NaN,0.0,NaN
18900209,1840000.0,-0.5,1.5,5.3,NaN,0.0,NaN
18900210,1650000.0,-4.2,1.1,4.8,NaN,0.0,NaN
18900211,4810000.0,-4.1,-0.5,5.1,NaN,0.0,NaN
18900212,5890000.0,-2.9,1.7,3.9,NaN,0.0,NaN
18900213,3220000.0,-4.7,2.6,4.0,NaN,0.0,NaN
18900214,6110000.0,-4.7,4.5,4.4,NaN,0.0,NaN
18900215,2640000.0,-4.7,2.9,4.1,NaN,0.0,NaN
18900216,2590000.0,-0.5,7.4,6.1,NaN,0.0,NaN
18900217,7300000.0,-3.8,7.0,5.9,NaN,0.0,NaN
18900218,6870000.0,-3.3,3.3,4.1,NaN,0.0,NaN
18900219,3460000.0,-1.8,0.0,4.1,NaN,0.0,NaN
18900220,2020000.0,-5.2,-1.6,3.7,NaN,0.0,NaN
18900221,3150000.0,-6.8,3.1,4.5,NaN,0.0,NaN
18900222,2360000.0,-5.0,2.2,4.9,NaN,0.0,NaN
18900223,2470000.0,-3.5,3.2,4.5,NaN,0.0,NaN
18900224,7140000.0,-1.5,5.7,6.1,NaN,0.0,NaN
18900225,3130000.0,-5.0,5.6,4.7,NaN,0.0,NaN
18900226,3620000.0,-5.6,3.2,5.3,NaN,0.01,NaN
18900227,3360000.0,-3.8,1.2,4.3,NaN,0.42000000000000004,NaN
18900228,3160000.0,-7.1,-2.0,3.1,NaN,0.02,NaN
18900301,3950000.0,-9.2,-2.0,3.2,NaN,0.03,NaN
18900302,1260000.0,-11.0,-4.0,2.5,NaN,0.06,NaN
18900303,6850000.0,-11.4,-2.0,2.8,NaN,0.0,NaN
18900304,10800000.0,-12.0,0.6,3.1,NaN,0.31,NaN
18900305,1820000.0,-5.7,3.0,4.9,NaN,0.11000000000000001,NaN
18900306,1530000.0,-1.2,4.5,6.1,NaN,0.31,NaN
18900307,5840000.0,0.7,8.5,7.3,NaN,0.62,NaN
18900308,5460000.0,3.6,6.7,7.9,NaN,0.55,NaN
18900309,4510000.0,-0.2,5.7,6.0,NaN,0.05,NaN
18900310,3830000.0,-2.1,3.6,5.7,NaN,0.12,NaN
18900311,8590000.0,1.8,9.8,9.5,NaN,0.01,NaN
18900312,1480000.0,7.7,12.9,10.0,NaN,0.0,NaN
18900313,10110000.0,5.9,10.2,8.3,NaN,0.0,NaN
18900314,5650000.0,5.2,12.5,8.3,NaN,0.0,NaN
18900315,3710000.0,2.3,16.8,9.1,NaN,0.0,NaN
18900316,3760000.0,4.6,14.6,8.7,NaN,0.0,NaN
18900317,12780000.0,3.2,15.1,8.9,NaN,0.49000000000000005,NaN
18900318,10740000.0,4.4,10.5,8.5,NaN,0.0,NaN
18900319,13330000.0,4.6,16.5,9.1,NaN,0.0,NaN
18900320,15650000.0,5.2,15.2,8.0,NaN,0.24,NaN
18900321,15360000.0,4.5,9.0,8.0,NaN,0.32,NaN
18900322,6900000.0,2.5,8.6,7.7,NaN,0.16999999999999998,NaN
18900323,3200000.0,3.8,9.8,8.9,NaN,0.16,NaN
18900324,12050000.0,4.4,8.3,8.4,NaN,0.02,NaN
18900325,2470000.0,3.9,12.8,10.1,NaN,0.39,NaN
18900326,4440000.0,3.1,11.1,8.9,NaN,0.08,NaN
18900327,12980000.0,5.7,12.5,11.2,NaN,0.02,NaN
18900328,5100000.0,10.1,16.1,11.9,NaN,0.0,NaN
18900329,8800000.0,7.1,22.0,9.9,NaN,0.0,NaN
18900330,17960000.0,4.2,13.8,7.7,NaN,0.0,NaN
18900331,16300000.0,3.1,9.4,7.1,NaN,0.0,NaN
18900401,18090000.0,3.5,7.2,6.3,NaN,0.0,NaN
18900402,18230000.0,2.0,9.1,5.9,NaN,0.0,NaN
18900403,18560000.0,0.1,11.4,6.0,NaN,0.0,NaN
18900404,9120000.0,-0.4,12.6,5.9,NaN,0.0,NaN
18900405,15030000.0,-0.5,15.9,6.7,NaN,0.0,NaN
18900406,12820000.0,0.5,16.8,6.7,NaN,0.0,NaN
18900407,16040000.0,6.0,11.9,9.2,NaN,0.24,NaN
18900408,13880000.0,3.1,9.2,6.9,NaN,0.04,NaN
18900409,15790000.0,1.0,8.7,7.6,NaN,0.21000000000000002,NaN
18900410,19690000.0,2.2,8.0,6.8,NaN,0.29,NaN
18900411,18960000.0,-1.4,9.2,5.6,NaN,0.01,NaN
18900412,19560000.0,-2.3,9.8,6.4,NaN,0.82,NaN
18900413,19460000.0,1.8,10.1,6.7,NaN,0.0,NaN
