DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
21.01.1882,,-0.4,2.4,5.7,,0.0,
22.01.1882,,-0.9,1.8,5.2,,0.0,
23.01.1882,,-2.4,0.4,4.4,,0.0,
24.01.1882,,-3.5,-1.9,3.7,,0.0,
25.01.1882,,-5.3,-0.2,3.7,,0.0,
26.01.1882,,-6.2,7.8,5.2,,0.0,
27.01.1882,,-7.3,2.8,4.5,,0.0,
28.01.1882,,-4.7,4.4,5.3,,0.0,
29.01.1882,,-3.3,7.6,6.1,,0.0,
30.01.1882,,-0.6,5.2,5.6,,0.0,
31.01.1882,,-4.0,0.8,3.5,,0.0,
21.02.1882,,-2.5,5.7,6.5,,0.02,
22.02.1882,,-1.6,4.2,4.8,,0.0,
23.02.1882,,-1.4,5.8,6.1,,0.0,
24.02.1882,,1.4,5.0,5.3,,0.0,
25.02.1882,,1.0,9.2,6.4,,0.0,
26.02.1882,,3.5,13.7,6.8,,0.03,
27.02.1882,,5.6,10.6,7.7,,0.01,
28.02.1882,,4.0,9.1,8.3,,0.02,
21.03.1882,,4.8,17.4,7.9,,0.33999999999999997,
22.03.1882,,2.3,9.2,6.1,,0.0,
23.03.1882,,0.6,2.8,5.7,,0.01,
24.03.1882,,0.6,5.6,6.3,,0.6,
25.03.1882,,0.6,5.7,6.0,,0.55,
26.03.1882,,0.0,7.8,5.9,,0.64,
27.03.1882,,0.8,4.8,6.0,,0.36,
28.03.1882,,0.5,7.6,7.3,,0.16,
29.03.1882,,2.0,8.6,8.1,,0.01,
30.03.1882,,3.8,10.0,8.0,,0.06,
31.03.1882,,1.5,13.8,7.9,,0.0,
21.05.1882,,2.0,17.0,7.7,,,
22.05.1882,,3.0,19.1,8.9,,,
23.05.1882,,7.2,23.1,12.0,,,
24.05.1882,,11.2,16.9,12.3,,,
25.05.1882,,11.4,20.5,11.7,,,
26.05.1882,,13.0,16.8,13.3,,,
27.05.1882,,11.5,20.7,12.4,,,
28.05.1882,,8.5,22.8,12.0,,,
29.05.1882,,13.5,25.6,14.4,,,
30.05.1882,,14.5,22.0,16.1,,,
31.05.1882,,11.2,15.0,11.9,,,
21.06.1882,,8.1,17.6,10.3,,,
22.06.1882,,7.9,19.8,11.7,,,
23.06.1882,,10.4,23.5,12.1,,,
24.06.1882,,12.1,25.5,13.3,,,
25.06.1882,,14.2,22.9,10.5,,,
26.06.1882,,10.4,22.9,11.6,,,
27.06.1882,,11.9,18.0,12.0,,,
28.06.1882,,9.5,15.1,12.4,,,
29.06.1882,,11.7,20.8,12.9,,,
30.06.1882,,12.5,20.9,12.8,,0.0,
21.07.1882,,15.5,23.8,16.9,,0.31,
22.07.1882,,15.1,22.1,16.3,,0.0,
23.07.1882,,12.5,25.1,15.1,,0.0,
24.07.1882,,14.8,25.8,16.1,,0.18,
25.07.1882,,12.0,20.9,12.5,,0.01,
26.07.1882,,13.8,23.8,14.8,,0.32,
27.07.1882,,12.7,16.4,14.1,,1.53,
28.07.1882,,11.6,17.8,13.7,,1.83,
29.07.1882,,11.6,14.0,14.4,,2.7399999999999998,
30.07.1882,,11.5,14.1,13.5,,1.04,
31.07.1882,,10.2,17.9,12.3,,0.33999999999999997,
21.08.1882,,9.5,19.6,11.9,,0.54,
22.08.1882,,9.8,14.8,10.3,,0.01,
23.08.1882,,10.8,21.4,12.1,,0.5599999999999999,
24.08.1882,,10.4,18.0,9.9,,0.0,
25.08.1882,,9.4,18.5,9.9,,0.02,
26.08.1882,,10.5,18.8,11.6,,0.06999999999999999,
27.08.1882,,10.1,16.9,11.3,,0.13999999999999999,
28.08.1882,,9.4,16.0,11.1,,0.3,
29.08.1882,,10.1,17.1,12.9,,0.8300000000000001,
30.08.1882,,10.5,15.3,11.3,,0.47000000000000003,
31.08.1882,,9.4,14.6,10.8,,0.12,
21.09.1882,,8.7,14.1,,,4.93,
22.09.1882,,9.5,11.8,,,3.4200000000000004,
23.09.1882,,8.8,11.1,,,0.6900000000000001,
24.09.1882,,8.5,12.7,,,0.39,
25.09.1882,,8.2,16.1,,,0.0,
26.09.1882,,7.9,15.5,,,0.0,
27.09.1882,,9.5,16.1,,,0.45,
28.09.1882,,7.3,12.7,,,0.0,
29.09.1882,,4.5,12.8,,,0.89,
30.09.1882,,4.7,13.0,,,0.03,
21.10.1882,,2.1,11.9,7.9,,0.0,
22.10.1882,,2.7,9.5,7.9,,0.2,
23.10.1882,,3.2,10.5,8.0,,0.11000000000000001,
24.10.1882,,5.5,11.6,8.8,,0.16,
25.10.1882,,6.4,11.7,8.5,,0.39,
26.10.1882,,5.0,9.3,8.3,,0.01,
27.10.1882,,3.6,11.9,7.7,,0.0,
28.10.1882,,4.5,12.8,10.3,,0.0,
29.10.1882,,5.4,13.9,8.4,,0.0,
30.10.1882,,2.3,8.2,6.1,,0.09,
31.10.1882,,1.5,8.6,7.5,,0.0,
21.11.1882,,-0.6,2.0,5.6,,0.13999999999999999,
22.11.1882,,-1.3,2.1,5.7,,1.08,
23.11.1882,,-0.4,7.8,8.8,,0.25,
24.11.1882,,4.9,12.0,9.1,,0.03,
25.11.1882,,6.9,9.6,8.1,,1.4,
26.11.1882,,4.8,9.6,7.9,,0.18,
27.11.1882,,2.6,5.7,5.9,,0.01,
28.11.1882,,0.4,3.1,5.5,,0.19,
29.11.1882,,-1.1,2.5,5.3,,0.04,
30.11.1882,,-3.2,0.3,4.4,,0.0,
21.12.1882,,-3.8,3.7,5.2,,0.16,
22.12.1882,,-3.4,3.4,5.6,,0.0,
23.12.1882,,-2.0,0.8,4.7,,0.01,
24.12.1882,,-2.1,-0.3,4.5,,0.13999999999999999,
25.12.1882,,-2.8,0.8,5.1,,0.89,
26.12.1882,,-1.7,4.9,6.8,,1.4,
27.12.1882,,-0.7,4.1,6.4,,1.8,
28.12.1882,,-1.1,9.0,9.6,,0.41,
29.12.1882,,7.3,8.8,7.1,,0.09,
30.12.1882,,5.7,9.5,8.3,,0.85,
31.12.1882,,-0.3,8.4,6.0,,0.31,
21.01.1883,,0.2,3.6,5.9,,0.0,
22.01.1883,,-3.0,0.6,4.8,,0.37,
23.01.1883,,-4.0,-2.3,4.1,,0.08,
24.01.1883,,-10.8,-3.7,2.8,,0.0,
25.01.1883,,-14.3,-4.4,2.5,,0.0,
26.01.1883,,-8.7,0.0,4.1,,0.13,
27.01.1883,,-4.2,2.0,5.2,,0.06,
28.01.1883,,-0.2,3.2,4.7,,0.74,
29.01.1883,,0.2,7.5,6.7,,0.0,
30.01.1883,,3.3,7.5,5.6,,0.0,
31.01.1883,,0.3,4.6,5.1,,0.0,
21.02.1883,,-0.5,4.0,6.7,,0.06,
