DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
1882-01-01,NaN,-4.3,2.5,4.1,NaN,0.0,NaN
1882-01-02,NaN,-4.6,5.3,5.6,NaN,0.0,NaN
1882-01-03,NaN,-0.7,7.7,6.7,NaN,0.13999999999999999,NaN
1882-01-04,NaN,3.0,7.5,6.8,NaN,0.06,NaN
1882-01-05,NaN,0.6,4.0,5.1,NaN,0.26,NaN
1882-01-06,NaN,3.0,7.5,7.3,NaN,0.22999999999999998,NaN
1882-01-07,NaN,2.1,7.1,6.8,NaN,0.0,NaN
1882-01-08,NaN,0.6,2.4,5.6,NaN,0.62,NaN
1882-01-09,NaN,0.9,3.6,6.1,NaN,0.0,NaN
1882-01-10,NaN,0.6,3.9,5.7,NaN,0.22999999999999998,NaN
1882-01-11,NaN,0.4,4.0,6.1,NaN,0.0,NaN
1882-01-12,NaN,0.6,4.0,5.7,NaN,0.0,NaN
1882-01-13,NaN,-2.8,1.8,4.1,NaN,0.0,NaN
1882-01-14,NaN,-4.0,2.8,3.7,NaN,0.0,NaN
1882-01-15,NaN,-5.9,5.0,3.1,NaN,0.0,NaN
1882-01-16,NaN,-4.5,4.3,3.6,NaN,0.0,NaN
1882-01-17,NaN,-5.3,6.3,4.4,NaN,0.06,NaN
1882-01-18,NaN,-5.3,4.9,4.1,NaN,0.15,NaN
1882-01-19,NaN,-4.5,1.2,5.7,NaN,0.03,NaN
1882-01-20,NaN,-1.9,3.8,6.7,NaN,0.05,NaN
1882-01-21,NaN,-0.4,2.4,5.7,NaN,0.0,NaN
1882-01-22,NaN,-0.9,1.8,5.2,NaN,0.0,NaN
1882-01-23,NaN,-2.4,0.4,4.4,NaN,0.0,NaN
1882-01-24,NaN,-3.5,-1.9,3.7,NaN,0.0,NaN
1882-01-25,NaN,-5.3,-0.2,3.7,NaN,0.0,NaN
1882-01-26,NaN,-6.2,7.8,5.2,NaN,0.0,NaN
1882-01-27,NaN,-7.3,2.8,4.5,NaN,0.0,NaN
1882-01-28,NaN,-4.7,4.4,5.3,NaN,0.0,NaN
1882-01-29,NaN,-3.3,7.6,6.1,NaN,0.0,NaN
1882-01-30,NaN,-0.6,5.2,5.6,NaN,0.0,NaN
1882-01-31,NaN,-4.0,0.8,3.5,NaN,0.0,NaN
1882-02-01,NaN,-6.9,-0.3,2.8,NaN,0.0,NaN
1882-02-02,NaN,-7.4,3.0,3.1,NaN,0.0,NaN
1882-02-03,NaN,-9.2,2.9,3.1,NaN,0.0,NaN
1882-02-04,NaN,-9.8,2.6,3.6,NaN,0.01,NaN
1882-02-05,NaN,-9.3,-1.4,4.7,NaN,0.06,NaN
1882-02-06,NaN,-6.1,1.8,5.5,NaN,0.0,NaN
1882-02-07,NaN,-1.6,0.8,5.3,NaN,0.16999999999999998,NaN
