## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,1500,-3.6,-0.4,0.53,1.7,0,NaN
20200102,630,-4.6,4.5,0.59,3.4,0,NaN
20200103,790,4,9,0.91,5.7,4.4,NaN
20200104,690,1.9,7.7,0.77,6.7,2.6,NaN
20200105,780,-0.7,6.5,0.75,3.1,0,NaN
20200106,1200,0,6.5,0.75,3.6,0.1,NaN
20200107,1980,0.6,8.4,0.83,4.7,0,NaN
20200108,670,7.3,11.3,1.08,5.3,0.4,NaN
20200109,500,8.9,12.5,1.23,4.6,6.7,NaN
20200110,1610,2.4,12.1,0.95,6.1,0.7,NaN
20200111,2740,0.3,6.7,0.69,4.9,0,NaN
20200112,790,5.5,9.1,0.83,8.3,1.3,NaN
20200113,2860,2.6,8.7,0.84,4.2,0.9,NaN
20200114,1230,6.8,12.3,1,7.9,1.2,NaN
20200115,3450,5.3,13.8,0.95,7.7,0.3,NaN
20200116,4290,3.1,9.9,0.83,3.8,0,NaN
20200117,2730,4.6,10.9,0.89,4.3,0.9,NaN
20200118,2620,1.2,6.4,0.73,5.6,2.3,NaN
20200119,2890,-0.1,7.5,0.71,3.5,0.3,NaN
20200120,2440,1.9,6.4,0.8,2.7,0,NaN
20200121,4650,0.9,6.4,0.71,3.9,0,NaN
20200122,1520,0.5,7.8,0.81,3.5,0,NaN
20200123,4080,-3.4,7.4,0.71,1.5,0,NaN
20200124,1340,-3.6,2.1,0.62,3.2,0,NaN
20200125,1220,0.3,2.9,0.67,3.2,0,NaN
20200126,1810,0.4,4.9,0.69,3.3,0.7,NaN
20200127,1310,4.2,9,0.92,4.5,2,NaN
20200128,1440,2.1,7.2,0.78,7.7,3.2,NaN
20200129,1690,3,5.5,0.73,7.4,6.2,NaN
20200130,1830,4.5,10.2,0.89,7.9,0.4,NaN
20200131,2940,8,12.5,1.07,8.5,1.1,NaN
20200201,1650,8.3,12.4,1.09,8.1,0.4,NaN
20200202,1050,5.9,8.9,0.93,4.4,5.7,NaN
20200203,1650,5.2,9.5,0.95,6.3,2.6,NaN
20200204,4680,3.4,7.3,0.73,5.8,1.9,NaN
20200205,7080,-3.5,7,0.59,3.8,0,NaN
20200206,1800,1.2,6.7,0.76,3.6,0,NaN
20200207,2550,2.3,6.9,0.73,3.3,0,NaN
20200208,3020,0,9.1,0.71,3.3,0.1,NaN
20200209,2220,5.9,12.9,0.92,10,12.6,NaN
20200210,3810,0.1,10.1,0.78,10.2,9.5,NaN
20200211,3200,1.7,6.2,0.66,11.2,1.4,NaN
