## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz'
Description = 'Observed data from Station Chemnitz'
Source      = 'Your Data Source'
Contact     = 'Your Contact'
Longitude = 12.92; Latitude = 50.83; Elevation = 300; AngstromA = 0.25; AngstromB = 0.50; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
20090101,NaN,-7.5,-4.5,3.7,3.7,0.01,NaN
20090102,NaN,-5.6,-3.1,4.4,2.3,0.06,NaN
20090103,NaN,-10.3,-2.9,3.1,4.0,0.13999999999999999,NaN
20090104,NaN,-3.7,-2.4,4.9,8.3,1.04,NaN
20090105,NaN,-15.4,-2.2,3.9,5.9,0.08,NaN
20090106,NaN,-19.5,-13.1,1.4,2.0,0.0,NaN
20090107,NaN,-18.0,-6.1,2.6,4.6,0.04,NaN
20090108,NaN,-10.7,-4.7,3.2,1.8,0.0,NaN
20090109,NaN,-11.5,-1.3,2.2,1.9,0.0,NaN
20090110,NaN,-6.4,2.3,3.4,2.2,0.0,NaN
20090111,NaN,-9.9,-0.1,2.9,3.0,0.0,NaN
20090112,NaN,-6.9,5.0,2.7,2.7,0.0,NaN
20090113,NaN,-4.3,5.6,2.9,2.8,0.0,NaN
20090114,NaN,-3.4,1.0,3.6,3.1,0.09,NaN
20090115,NaN,-2.6,1.0,6.0,2.1,0.0,NaN
20090116,NaN,-2.5,2.5,5.1,2.5,0.0,NaN
20090117,NaN,-1.7,3.3,5.6,5.1,0.13999999999999999,NaN
20090118,NaN,1.0,5.0,6.2,6.9,0.04,NaN
20090119,NaN,-0.2,4.8,5.8,6.7,0.0,NaN
20090120,NaN,-0.5,5.7,6.2,4.6,0.0,NaN
20090121,NaN,-1.7,1.9,5.2,2.0,0.0,NaN
20090122,NaN,-2.4,4.1,4.6,3.7,0.0,NaN
20090123,NaN,-2.7,5.3,5.1,6.2,0.03,NaN
20090124,NaN,0.8,3.6,5.6,6.1,0.06,NaN
20090125,NaN,-0.7,3.7,5.9,2.2,0.0,NaN
20090126,NaN,-1.9,1.2,5.2,2.6,0.0,NaN
20090127,NaN,-2.5,-0.7,5.5,2.3,0.0,NaN
20090128,NaN,-3.2,-2.0,5.0,3.0,0.0,NaN
20090129,NaN,-3.0,-1.2,4.7,3.6,0.0,NaN
20090130,NaN,-3.3,-2.3,4.2,3.1,0.0,NaN
20090131,NaN,-4.7,-1.5,4.8,3.2,0.09,NaN
