STATIONS_ID;MESS_DATUM;QN_3;FX;FM;QN_4;RSK;RSKF;SDK;SHK_TAG;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK;eor;FG_STRAHL
853;1882-01-01;;;;1;0.0;1.0;;;3.0;4.1;979.4;-1.3;76.0;2.5;-4.3;;eor;
853;1882-01-02;;;;1;0.0;0.0;;;5.0;5.6;976.2;2.4;78.0;5.3;-4.6;;eor;
853;1882-01-03;;;;1;1.4;1.0;;;7.3;6.7;966.8;6.9;67.0;7.7;-0.7;;eor;
853;1882-01-04;;;;1;0.6;1.0;;;7.7;6.8;973.7;4.3;82.0;7.5;3.0;;eor;
853;1882-01-05;;;;1;2.6;1.0;;;7.7;5.1;978.9;2.6;69.0;4.0;0.6;;eor;
853;1882-01-06;;;;1;2.3;1.0;;;8.0;7.3;975.4;5.5;81.0;7.5;3.0;;eor;
853;1882-01-07;;;;1;0.0;8.0;;;7.3;6.8;975.4;4.5;80.0;7.1;2.1;;eor;
853;1882-01-08;;;;1;6.2;1.0;;;8.0;5.6;986.4;1.9;79.0;2.4;0.6;;eor;
853;1882-01-09;;;;1;0.0;1.0;;;7.0;6.1;979.7;3.0;82.0;3.6;0.9;;eor;
853;1882-01-10;;;;1;2.3;8.0;;;5.3;5.7;987.6;2.4;78.0;3.9;0.6;;eor;
853;1882-01-11;;;;1;0.0;0.0;;;8.0;6.1;984.1;2.6;83.0;4.0;0.4;;eor;
853;1882-01-12;;;;1;0.0;0.0;;;6.7;5.7;993.2;2.4;78.0;4.0;0.6;;eor;
853;1882-01-13;;;;1;0.0;0.0;;;0.3;4.1;998.8;-1.1;74.0;1.8;-2.8;;eor;
853;1882-01-14;;;;1;0.0;0.0;;;0.0;3.7;1000.9;-0.8;66.0;2.8;-4.0;;eor;
853;1882-01-15;;;;1;0.0;0.0;;;0.0;3.1;1005.8;-0.3;54.0;5.0;-5.9;;eor;
853;1882-01-16;;;;1;0.0;0.0;;;0.0;3.6;1008.6;-0.8;64.0;4.3;-4.5;;eor;
853;1882-01-17;;;;1;0.6;1.0;;;0.0;4.4;1007.4;0.0;72.0;6.3;-5.3;;eor;
853;1882-01-18;;;;1;1.5;1.0;;;2.7;4.1;1005.5;-0.7;74.0;4.9;-5.3;;eor;
853;1882-01-19;;;;1;0.3;1.0;;;8.0;5.7;1004.9;0.0;93.0;1.2;-4.5;;eor;
853;1882-01-20;;;;1;0.5;8.0;;;8.0;6.7;1001.8;2.3;91.0;3.8;-1.9;;eor;
853;1882-01-21;;;;1;0.0;0.0;;;8.0;5.7;998.9;0.5;91.0;2.4;-0.4;;eor;
853;1882-01-22;;;;1;0.0;0.0;;;8.0;5.2;998.9;0.6;82.0;1.8;-0.9;;eor;
853;1882-01-23;;;;1;0.0;0.0;;;8.0;4.4;996.7;-1.5;79.0;0.4;-2.4;;eor;
853;1882-01-24;;;;1;0.0;0.0;;;8.0;3.7;1001.1;-3.1;78.0;-1.9;-3.5;;eor;
853;1882-01-25;;;;1;0.0;0.0;;;2.7;3.7;1002.6;-3.3;81.0;-0.2;-5.3;;eor;
853;1882-01-26;;;;1;0.0;0.0;;;0.0;5.2;1000.4;1.5;75.0;7.8;-6.2;;eor;
853;1882-01-27;;;;1;0.0;7.0;;;3.3;4.5;995.9;-1.1;79.0;2.8;-7.3;;eor;
853;1882-01-28;;;;1;0.0;0.0;;;0.7;5.3;994.5;0.8;80.0;4.4;-4.7;;eor;
853;1882-01-29;;;;1;0.0;1.0;;;5.3;6.1;991.6;3.9;76.0;7.6;-3.3;;eor;
853;1882-01-30;;;;1;0.0;0.0;;;7.3;5.6;990.7;2.0;80.0;5.2;-0.6;;eor;
853;1882-01-31;;;;1;0.0;0.0;;;3.3;3.5;1002.6;-1.9;67.0;0.8;-4.0;;eor;
853;1882-02-01;;;;1;0.0;0.0;;;0.0;2.8;1005.8;-4.3;66.0;-0.3;-6.9;;eor;
853;1882-02-02;;;;1;0.0;0.0;;;0.0;3.1;1000.3;-2.6;61.0;3.0;-7.4;;eor;
853;1882-02-03;;;;1;0.0;0.0;;;0.0;3.1;997.8;-3.9;68.0;2.9;-9.2;;eor;
853;1882-02-04;;;;1;0.1;7.0;;;3.0;3.6;992.6;-2.9;73.0;2.6;-9.8;;eor;
853;1882-02-05;;;;1;0.6;7.0;;;8.0;4.7;990.1;-3.2;97.0;-1.4;-9.3;;eor;
853;1882-02-06;;;;1;0.0;7.0;;;8.0;5.5;992.1;0.2;88.0;1.8;-6.1;;eor;
