DAY;IRRAD;TMIN;TMAX;VAP;WIND;RAIN;SNOW;;;;;;;;
01.01.2009;2660000.0;-2.8;1.7;5.4;2.4;0.0;;;2660000.0;-2.8;1.7;5.4;2.4;0.0;-999
02.01.2009;2610000.0;-8.0;1.3;5.0;2.2;0.0;;;2610000.0;-8.0;1.3;5.0;2.2;0.0;-999
03.01.2009;1370000.0;-8.0;3.0;5.1;4.4;0.42000000000000004;;;1370000.0;-8.0;3.0;5.1;4.4;0.42000000000000004;-999
04.01.2009;720000.0;0.4;3.9;6.8;6.0;0.64;;;720000.0;0.4;3.9;6.8;6.0;0.64;-999
05.01.2009;1870000.0;-8.1;0.5;4.1;3.7;0.0;;;1870000.0;-8.1;0.5;4.1;3.7;0.0;-999
06.01.2009;3950000.0;-10.8;-2.3;3.0;1.2;0.0;;;3950000.0;-10.8;-2.3;3.0;1.2;0.0;-999
07.01.2009;1610000.0;-10.4;0.4;4.3;3.6;0.04;;;1610000.0;-10.4;0.4;4.3;3.6;0.04;-999
08.01.2009;2230000.0;-11.1;-4.5;3.5;1.5;0.0;;;2230000.0;-11.1;-4.5;3.5;1.5;0.0;-999
09.01.2009;850000.0;-7.1;-0.7;4.4;2.0;0.0;;;850000.0;-7.1;-0.7;4.4;2.0;0.0;-999
10.01.2009;4010000.0;-7.3;1.8;4.5;2.0;0.0;;;4010000.0;-7.3;1.8;4.5;2.0;0.0;-999
11.01.2009;3620000.0;-6.0;1.8;3.8;3.9;0.0;;;3620000.0;-6.0;1.8;3.8;3.9;0.0;-999
12.01.2009;2710000.0;-1.8;7.1;4.1;5.2;0.05;;;2710000.0;-1.8;7.1;4.1;5.2;0.05;-999
13.01.2009;590000.0;3.4;6.4;7.6;4.6;0.71;;;590000.0;3.4;6.4;7.6;4.6;0.71;-999
14.01.2009;620000.0;2.6;4.1;7.8;2.2;0.06999999999999999;;;620000.0;2.6;4.1;7.8;2.2;0.06999999999999999;-999
15.01.2009;1380000.0;1.2;3.3;7.1;1.9;0.0;;;1380000.0;1.2;3.3;7.1;1.9;0.0;-999
16.01.2009;2250000.0;0.0;2.2;6.0;4.9;0.0;;;2250000.0;0.0;2.2;6.0;4.9;0.0;-999
17.01.2009;1470000.0;0.2;5.2;6.6;3.5;0.09;;;1470000.0;0.2;5.2;6.6;3.5;0.09;-999
18.01.2009;630000.0;2.1;5.8;7.3;5.7;0.15;;;630000.0;2.1;5.8;7.3;5.7;0.15;-999
19.01.2009;1470000.0;1.1;7.4;6.7;5.7;0.21000000000000002;;;1470000.0;1.1;7.4;6.7;5.7;0.21000000000000002;-999
20.01.2009;2380000.0;-0.4;6.2;6.3;4.6;0.0;;;2380000.0;-0.4;6.2;6.3;4.6;0.0;-999
21.01.2009;3720000.0;-2.6;4.5;5.8;2.1;0.0;;;3720000.0;-2.6;4.5;5.8;2.1;0.0;-999
22.01.2009;2810000.0;-1.2;5.0;5.8;5.6;0.05;;;2810000.0;-1.2;5.0;5.8;5.6;0.05;-999
23.01.2009;510000.0;0.7;4.1;6.5;5.6;1.21;;;510000.0;0.7;4.1;6.5;5.6;1.21;-999
24.01.2009;2120000.0;1.6;5.8;7.3;5.4;0.02;;;2120000.0;1.6;5.8;7.3;5.4;0.02;-999
25.01.2009;4630000.0;-0.6;5.2;6.2;3.2;0.0;;;4630000.0;-0.6;5.2;6.2;3.2;0.0;-999
26.01.2009;1730000.0;-3.8;0.5;5.3;3.0;0.0;;;1730000.0;-3.8;0.5;5.3;3.0;0.0;-999
27.01.2009;1260000.0;-2.9;-0.5;5.2;2.5;0.0;;;1260000.0;-2.9;-0.5;5.2;2.5;0.0;-999
28.01.2009;1630000.0;-3.5;-1.2;5.1;2.7;0.0;;;1630000.0;-3.5;-1.2;5.1;2.7;0.0;-999
29.01.2009;4310000.0;-3.0;1.1;4.9;3.9;0.0;;;4310000.0;-3.0;1.1;4.9;3.9;0.0;-999
30.01.2009;2270000.0;-3.2;-0.1;4.6;4.7;0.0;;;2270000.0;-3.2;-0.1;4.6;4.7;0.0;-999
31.01.2009;3350000.0;-1.7;2.8;5.3;4.2;0.0;;;3350000.0;-1.7;2.8;5.3;4.2;0.0;-999
01.02.2009;1870000.0;-3.8;0.8;4.1;6.6;0.0;;;1870000.0;-3.8;0.8;4.1;6.6;0.0;-999
02.02.2009;1890000.0;-1.0;2.6;5.1;7.5;0.0;;;1890000.0;-1.0;2.6;5.1;7.5;0.0;-999
03.02.2009;1730000.0;1.0;2.4;5.9;3.8;0.0;;;1730000.0;1.0;2.4;5.9;3.8;0.0;-999
04.02.2009;1390000.0;0.4;2.1;6.2;1.6;0.03;;;1390000.0;0.4;2.1;6.2;1.6;0.03;-999
05.02.2009;2000000.0;0.3;5.1;6.8;2.6;0.01;;;2000000.0;0.3;5.1;6.8;2.6;0.01;-999
06.02.2009;6050000.0;3.0;9.4;7.8;3.2;0.0;;;6050000.0;3.0;9.4;7.8;3.2;0.0;-999
07.02.2009;1320000.0;-3.8;4.1;6.8;2.3;0.04;;;1320000.0;-3.8;4.1;6.8;2.3;0.04;-999
08.02.2009;5150000.0;-3.1;5.7;5.7;4.4;0.03;;;5150000.0;-3.1;5.7;5.7;4.4;0.03;-999
09.02.2009;1840000.0;-2.7;2.1;5.9;3.5;0.52;;;1840000.0;-2.7;2.1;5.9;3.5;0.52;-999
10.02.2009;1650000.0;0.2;4.0;6.5;5.4;0.1;;;1650000.0;0.2;4.0;6.5;5.4;0.1;-999
11.02.2009;4810000.0;-2.7;4.4;5.9;4.7;0.01;;;4810000.0;-2.7;4.4;5.9;4.7;0.01;-999
12.02.2009;5890000.0;-3.7;3.9;5.3;3.8;0.05;;;5890000.0;-3.7;3.9;5.3;3.8;0.05;-999
13.02.2009;3220000.0;-2.9;2.8;6.0;3.3;0.2;;;3220000.0;-2.9;2.8;6.0;3.3;0.2;-999
14.02.2009;6110000.0;-6.8;1.1;4.5;2.7;0.0;;;6110000.0;-6.8;1.1;4.5;2.7;0.0;-999
15.02.2009;2640000.0;-3.9;2.1;5.6;3.9;0.26;;;2640000.0;-3.9;2.1;5.6;3.9;0.26;-999
16.02.2009;2590000.0;2.0;5.6;8.1;3.1;0.6799999999999999;;;2590000.0;2.0;5.6;8.1;3.1;0.6799999999999999;-999
17.02.2009;7300000.0;-3.5;4.8;5.2;4.3;0.0;;;7300000.0;-3.5;4.8;5.2;4.3;0.0;-999
18.02.2009;6870000.0;-6.1;1.4;4.3;1.3;0.0;;;6870000.0;-6.1;1.4;4.3;1.3;0.0;-999
19.02.2009;3460000.0;-4.1;2.3;5.3;3.5;0.22999999999999998;;;3460000.0;-4.1;2.3;5.3;3.5;0.22999999999999998;-999
20.02.2009;2020000.0;1.8;5.8;7.5;3.9;0.0;;;2020000.0;1.8;5.8;7.5;3.9;0.0;-999
21.02.2009;3150000.0;2.1;6.5;7.5;3.7;0.33999999999999997;;;3150000.0;2.1;6.5;7.5;3.7;0.33999999999999997;-999
22.02.2009;2360000.0;4.6;8.3;8.4;6.2;0.1;;;2360000.0;4.6;8.3;8.4;6.2;0.1;-999
23.02.2009;2470000.0;3.1;5.8;7.5;7.0;0.04;;;2470000.0;3.1;5.8;7.5;7.0;0.04;-999
24.02.2009;7140000.0;0.5;5.6;6.7;2.9;0.01;;;7140000.0;0.5;5.6;6.7;2.9;0.01;-999
25.02.2009;3130000.0;3.1;6.4;7.6;5.3;0.12;;;3130000.0;3.1;6.4;7.6;5.3;0.12;-999
26.02.2009;3620000.0;5.1;9.1;8.4;7.3;1.1300000000000001;;;3620000.0;5.1;9.1;8.4;7.3;1.1300000000000001;-999
27.02.2009;3360000.0;2.1;7.6;8.8;4.3;0.15;;;3360000.0;2.1;7.6;8.8;4.3;0.15;-999
28.02.2009;3160000.0;6.5;9.6;10.0;2.1;0.49000000000000005;;;3160000.0;6.5;9.6;10.0;2.1;0.49000000000000005;-999
01.03.2009;3950000.0;5.6;10.2;9.9;2.2;0.06999999999999999;;;3950000.0;5.6;10.2;9.9;2.2;0.06999999999999999;-999
02.03.2009;1260000.0;4.5;8.0;8.8;3.8;0.0;;;1260000.0;4.5;8.0;8.8;3.8;0.0;-999
03.03.2009;6850000.0;0.3;9.4;7.0;3.8;0.0;;;6850000.0;0.3;9.4;7.0;3.8;0.0;-999
04.03.2009;10800000.0;2.3;10.8;6.7;6.0;0.0;;;10800000.0;2.3;10.8;6.7;6.0;0.0;-999
05.03.2009;1820000.0;1.0;7.2;7.8;3.2;0.12;;;1820000.0;1.0;7.2;7.8;3.2;0.12;-999
06.03.2009;1530000.0;3.7;5.8;7.8;4.0;0.22000000000000003;;;1530000.0;3.7;5.8;7.8;4.0;0.22000000000000003;-999
07.03.2009;5840000.0;3.2;8.1;7.0;4.0;0.02;;;5840000.0;3.2;8.1;7.0;4.0;0.02;-999
08.03.2009;5460000.0;1.2;10.0;7.8;5.1;0.22000000000000003;;;5460000.0;1.2;10.0;7.8;5.1;0.22000000000000003;-999
09.03.2009;4510000.0;1.9;6.2;7.2;6.7;0.38;;;4510000.0;1.9;6.2;7.2;6.7;0.38;-999
10.03.2009;3830000.0;2.4;7.0;7.5;3.7;0.65;;;3830000.0;2.4;7.0;7.5;3.7;0.65;-999
11.03.2009;8590000.0;0.3;9.1;7.3;4.4;0.03;;;8590000.0;0.3;9.1;7.3;4.4;0.03;-999
