DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOW
18820101,NaN,-4.3,2.5,4.1,NaN,0.0,NaN
18820102,NaN,-4.6,5.3,5.6,NaN,0.0,NaN
18820103,NaN,-0.7,7.7,6.7,NaN,0.13999999999999999,NaN
18820104,NaN,3.0,7.5,6.8,NaN,0.06,NaN
18820105,NaN,0.6,4.0,5.1,NaN,0.26,NaN
18820106,NaN,3.0,7.5,7.3,NaN,0.22999999999999998,NaN
18820107,NaN,2.1,7.1,6.8,NaN,0.0,NaN
18820108,NaN,0.6,2.4,5.6,NaN,0.62,NaN
18820109,NaN,0.9,3.6,6.1,NaN,0.0,NaN
18820110,NaN,0.6,3.9,5.7,NaN,0.22999999999999998,NaN
18820111,NaN,0.4,4.0,6.1,NaN,0.0,NaN
18820112,NaN,0.6,4.0,5.7,NaN,0.0,NaN
18820113,NaN,-2.8,1.8,4.1,NaN,0.0,NaN
18820114,NaN,-4.0,2.8,3.7,NaN,0.0,NaN
18820115,NaN,-5.9,5.0,3.1,NaN,0.0,NaN
18820116,NaN,-4.5,4.3,3.6,NaN,0.0,NaN
18820117,NaN,-5.3,6.3,4.4,NaN,0.06,NaN
18820118,NaN,-5.3,4.9,4.1,NaN,0.15,NaN
18820119,NaN,-4.5,1.2,5.7,NaN,0.03,NaN
18820120,NaN,-1.9,3.8,6.7,NaN,0.05,NaN
18820121,NaN,-0.4,2.4,5.7,NaN,0.0,NaN
18820122,NaN,-0.9,1.8,5.2,NaN,0.0,NaN
18820123,NaN,-2.4,0.4,4.4,NaN,0.0,NaN
18820124,NaN,-3.5,-1.9,3.7,NaN,0.0,NaN
18820125,NaN,-5.3,-0.2,3.7,NaN,0.0,NaN
18820126,NaN,-6.2,7.8,5.2,NaN,0.0,NaN
18820127,NaN,-7.3,2.8,4.5,NaN,0.0,NaN
18820128,NaN,-4.7,4.4,5.3,NaN,0.0,NaN
18820129,NaN,-3.3,7.6,6.1,NaN,0.0,NaN
18820130,NaN,-0.6,5.2,5.6,NaN,0.0,NaN
18820131,NaN,-4.0,0.8,3.5,NaN,0.0,NaN
18820201,NaN,-6.9,-0.3,2.8,NaN,0.0,NaN
18820202,NaN,-7.4,3.0,3.1,NaN,0.0,NaN
18820203,NaN,-9.2,2.9,3.1,NaN,0.0,NaN
18820204,NaN,-9.8,2.6,3.6,NaN,0.01,NaN
18820205,NaN,-9.3,-1.4,4.7,NaN,0.06,NaN
18820206,NaN,-6.1,1.8,5.5,NaN,0.0,NaN
18820207,NaN,-1.6,0.8,5.3,NaN,0.16999999999999998,NaN
18820208,NaN,-1.2,0.9,5.3,NaN,0.0,NaN
18820209,NaN,-1.5,2.9,5.5,NaN,0.0,NaN
18820210,NaN,-4.4,6.8,4.5,NaN,0.0,NaN
18820211,NaN,-4.3,6.6,4.1,NaN,0.0,NaN
