## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20180101,1799,3.2,9.2,0.8,6.9,0.9,NaN
20180102,1533,2.2,7,0.78,4.5,8.7,NaN
20180103,791,5,9.3,0.85,11,20.2,NaN
20180104,833,4.7,8.4,0.88,6.9,3.1,NaN
20180105,1057,3.4,7.5,0.76,7,0.1,NaN
20180106,931,2.8,6.6,0.73,4.3,0.1,NaN
20180107,1942.5,-4.1,2.9,0.47,4.9,0,NaN
20180108,2954,-4.7,2.4,0.33,5.6,0,NaN
20180109,1687,-1.4,3.3,0.5,4.9,1.3,NaN
20180110,1057,0.3,5.7,0.73,2.4,0,NaN
20180111,2716,-3,6.8,0.68,1.8,1.9,NaN
20180112,378,2.2,3.2,0.72,3,0,NaN
20180113,553,0.2,2.8,0.64,5.2,0,NaN
20180114,2562,-1,1.9,0.47,5.6,0,NaN
20180115,1141,-1.2,6,0.61,6.5,3.5,NaN
20180116,1043,1.3,6.4,0.71,5.8,7.3,NaN
20180117,1673,0.5,3.8,0.63,6.8,3.7,NaN
20180118,686,0.7,5.8,0.68,7.1,14.9,NaN
20180119,1218,-1.5,4.1,0.64,3.6,0.7,NaN
20180120,1351,-2,3.7,0.62,3.2,0.4,NaN
20180121,959,-1.5,2.1,0.61,1.8,0.1,NaN
20180122,560,0.8,6.2,0.7,3.6,0.1,NaN
20180123,1582,5.6,9,0.89,4.8,2.3,NaN
20180124,924,7.8,13.9,1.14,7.5,2.1,NaN
20180125,1645,5.5,8.9,0.93,4,0.9,NaN
20180126,1211,3,6.7,0.87,2.1,0,NaN
20180127,1442,3,7.1,0.78,4.1,1.2,NaN
20180128,1918,5.4,10.4,1.01,8.5,1.7,NaN
20180129,945,4.8,10.7,1,9.4,9.3,NaN
20180130,2758,1.9,6.7,0.72,5.3,0.6,NaN
20180131,854,1,9.7,0.8,6,2.3,NaN
20180201,2037,0.6,4.1,0.63,6,0,NaN
20180202,1281,1.6,5.2,0.69,4.5,1.7,NaN
20180203,1638,-0.7,2.4,0.53,3.7,0.7,NaN
20180204,1638,-1.6,1.6,0.55,3.7,0.2,NaN
20180205,1281,-1.6,1.9,0.52,3.9,0,NaN
20180206,4774,-5.2,-0.2,0.38,3,0,NaN
20180207,5166,-6.8,0.5,0.35,2.3,0,NaN
