Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
853;Chemnitz;TMK;01.04.1882;30.04.1882;30;;eor;                                                                                                                                                         
853;Chemnitz;TMK;18.11.1905;05.01.1906;49;;eor;                                                                                                                                                         
853;Chemnitz;TMK;01.01.1916;31.12.1934;6940;;eor;                                                                                                                                                       
853;Chemnitz;TMK;01.11.1939;02.06.1940;215;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TMK;16.06.1940;29.10.1940;136;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TMK;01.12.1942;31.12.1942;31;Kriegsjahre;eor;                                                                                                                                              
853;Chemnitz;TMK;01.03.1945;31.05.1946;457;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TXK;01.04.1882;30.04.1882;30;;eor;                                                                                                                                                         
853;Chemnitz;TXK;18.11.1905;05.01.1906;49;;eor;                                                                                                                                                         
853;Chemnitz;TXK;01.01.1916;31.12.1934;6940;;eor;                                                                                                                                                       
853;Chemnitz;TXK;01.09.1939;31.01.1940;153;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TXK;01.12.1942;31.12.1942;31;Kriegsjahre;eor;                                                                                                                                              
853;Chemnitz;TXK;01.03.1945;31.05.1946;457;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TNK;01.04.1882;30.04.1882;30;;eor;                                                                                                                                                         
853;Chemnitz;TNK;18.11.1905;05.01.1906;49;;eor;                                                                                                                                                         
853;Chemnitz;TNK;01.01.1916;31.12.1934;6940;;eor;                                                                                                                                                       
853;Chemnitz;TNK;01.09.1939;31.01.1940;153;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TNK;01.12.1942;31.12.1942;31;Kriegsjahre;eor;                                                                                                                                              
853;Chemnitz;TNK;01.03.1945;31.05.1946;457;Kriegsjahre;eor;                                                                                                                                             
853;Chemnitz;TGK;05.04.1948;30.06.1948;87;;eor;                                                                                                                                                         
853;Chemnitz;TGK;11.09.2002;11.09.2002;1;;eor;                                                                                                                                                          
853;Chemnitz;PM;01.04.1882;30.04.1882;30;;eor;                                                                                                                                                          
853;Chemnitz;PM;01.01.1897;31.01.1897;31;;eor;                                                                                                                                                          
853;Chemnitz;PM;29.11.1897;29.11.1897;1;;eor;                                                                                                                                                           
