STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3815;19520201;-999;-999;-999;    5;   0.5;   8;    0.000;   0;   8.0;   5.9;  975.60;    0.6;   91.00;    2.5;    0.0;   -1.0;eor
       3815;19520202;-999;-999;-999;    5;   0.2;   8;    0.600;   0;   5.0;   5.9;  986.40;    0.9;   91.00;    1.8;   -1.2;   -2.5;eor
       3815;19520203;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   7.7;   5.9;  988.70;    1.2;   89.00;    2.1;    0.0;   -1.0;eor
       3815;19520204;-999;-999;-999;    5;   0.3;   1;    0.300;   0;   6.7;   5.7; 1004.00;    0.8;   89.00;    2.6;   -0.8;   -3.0;eor
       3815;19520205;-999;-999;-999;    5;   0.0;   0;    5.100;   0;   6.0;   5.6; 1019.90;    1.5;   82.00;    4.2;   -0.6;   -1.8;eor
       3815;19520206;-999;-999;-999;    5;   0.9;   1;    0.000;   0;   8.0;   6.8; 1016.80;    2.6;   94.00;    3.5;    0.3;   -0.7;eor
       3815;19520207;-999;-999;-999;    5;   3.9;   1;    0.000;   0;   8.0;   7.3; 1001.20;    4.1;   88.00;    5.2;    2.8;    2.0;eor
       3815;19520208;-999;-999;-999;    5;   1.4;   8;    2.500;   0;   3.3;   5.5;  989.00;    1.9;   76.00;    5.1;    0.7;   -0.8;eor
       3815;19520209;-999;-999;-999;    5;   1.0;   8;    4.700;   1;   5.3;   5.2;  993.80;    0.4;   82.00;    3.0;   -1.2;   -2.8;eor
       3815;19520210;-999;-999;-999;    5;   9.8;   8;    0.000;   0;   7.7;   5.5;  992.30;   -0.8;   94.00;    1.0;   -1.5;   -2.9;eor
       3815;19520211;-999;-999;-999;    5;   0.0;   1;    0.200;   1;   5.3;   5.1;  984.30;   -0.6;   81.00;    1.9;   -2.2;   -1.8;eor
       3815;19520212;-999;-999;-999;    5;   0.2;   7;    6.200;   1;   2.0;   4.7;  994.00;   -1.5;   85.00;    3.0;   -4.5;   -7.2;eor
       3815;19520213;-999;-999;-999;    5;   0.1;   7;    4.100;   1;   6.3;   5.2;  997.80;   -0.4;   88.00;    2.0;   -3.8;   -6.5;eor
       3815;19520214;-999;-999;-999;    5;   0.0;   1;    0.300;   1;   5.3;   4.7;  996.20;   -1.8;   84.00;    0.2;   -3.2;   -3.8;eor
       3815;19520215;-999;-999;-999;    5;   0.0;   0;    7.300;   1;   2.0;   4.0; 1005.60;   -2.3;   78.00;    1.6;   -4.6;   -6.5;eor
       3815;19520216;-999;-999;-999;    5;   0.0;   1;    5.500;   0;   4.7;   3.9; 1010.60;   -1.4;   75.00;    2.8;   -9.0;  -10.8;eor
       3815;19520217;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   7.3;   5.7; 1008.00;    0.6;   90.00;    2.6;   -0.4;   -1.0;eor
       3815;19520218;-999;-999;-999;    5;   0.9;   8;    0.000;   0;   8.0;   5.9; 1008.60;    0.5;   94.00;    1.3;   -1.8;   -2.2;eor
       3815;19520219;-999;-999;-999;    5;   1.0;   8;    0.000;   0;   7.7;   6.5; 1007.80;    2.0;   95.00;    3.7;   -0.6;   -1.7;eor
       3815;19520220;-999;-999;-999;    5;   0.4;   1;    0.000;   0;   8.0;   7.5; 1011.20;    3.9;   91.00;    5.5;    1.6;    0.7;eor
       3815;19520221;-999;-999;-999;    5;   0.4;   1;    0.000;   0;   8.0;   8.1; 1012.30;    5.0;   95.00;    6.0;    3.0;    2.1;eor
       3815;19520222;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   8.0;   6.9; 1012.40;    4.2;   83.00;    6.1;    3.0;    3.6;eor
       3815;19520223;-999;-999;-999;    5;   0.0;   0;    2.700;   0;   7.7;   6.4; 1012.80;    3.3;   83.00;    5.7;    1.1;    0.6;eor
       3815;19520224;-999;-999;-999;    5;   0.1;   1;    0.000;   0;   8.0;   7.7; 1017.00;    5.0;   90.00;    6.6;    1.2;    0.6;eor
       3815;19520225;-999;-999;-999;    5;   0.0;   0;    0.100;   0;   7.3;   8.5; 1019.10;    6.6;   88.00;    9.2;    4.0;    2.4;eor
       3815;19520226;-999;-999;-999;    5;   0.0;   0;    7.000;   0;   2.3;   6.3; 1017.60;    4.4;   75.00;    9.4;    1.5;   -1.4;eor
       3815;19520227;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   8.0;   6.7; 1015.20;    2.3;   93.00;    3.5;   -0.3;   -2.1;eor
       3815;19520228;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   8.0;   6.3; 1015.00;    2.6;   84.00;    4.4;    0.5;    0.0;eor
       3815;19520229;-999;-999;-999;    5;   3.6;   8;    0.000;   0;   8.0;   6.8; 1007.10;    2.3;   97.00;    3.5;    0.5;    0.3;eor
       3815;19520301;-999;-999;-999;    5;   1.1;   1;    0.900;   0;   7.7;   5.6; 1009.80;    3.2;   73.00;    4.4;    2.0;    1.6;eor
       3815;19520302;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   7.3;   7.7;  998.80;    7.2;   78.00;    9.6;    2.0;    1.0;eor
       3815;19520303;-999;-999;-999;    5;   0.0;   0;    5.600;   0;   5.7;   8.3;  997.10;    9.2;   70.00;   14.6;    6.0;    4.2;eor
       3815;19520304;-999;-999;-999;    5;   0.8;   1;    7.400;   0;   4.0;   7.9;  997.40;   11.7;   61.00;   16.0;    5.6;    2.0;eor
       3815;19520305;-999;-999;-999;    5;   4.8;   8;    1.000;   0;   5.7;   9.3;  997.20;    7.0;   91.00;   12.6;    4.5;    2.5;eor
       3815;19520306;-999;-999;-999;    5;   0.0;   0;    1.500;   0;   4.7;   5.7; 1010.00;    1.3;   80.00;    6.3;   -0.9;    0.0;eor
       3815;19520307;-999;-999;-999;    5;   0.0;   0;   10.100;   0;   2.3;   3.5; 1011.00;    0.1;   57.00;    4.8;   -3.2;   -4.9;eor
       3815;19520308;-999;-999;-999;    5;   0.0;   0;    1.500;   0;   4.7;   3.5; 1008.70;    1.1;   54.00;    4.7;   -3.6;   -5.0;eor
       3815;19520309;-999;-999;-999;    5;   0.7;   1;    8.200;   0;   3.0;   4.5; 1003.50;    5.6;   51.00;    9.4;   -2.4;   -5.5;eor
       3815;19520310;-999;-999;-999;    5;   2.4;   1;    0.000;   0;   8.0;   8.9; 1001.60;    6.1;   95.00;    7.3;    5.2;    2.7;eor
       3815;19520311;-999;-999;-999;    5;   0.7;   1;    0.000;   0;   7.7;   7.2; 1006.00;    4.4;   86.00;    6.2;    3.6;    3.5;eor
       3815;19520312;-999;-999;-999;    5;   0.2;   1;    0.500;   0;   8.0;   6.8; 1002.80;    4.0;   84.00;    5.2;    2.3;    1.6;eor
       3815;19520313;-999;-999;-999;    5;   0.0;   0;    0.200;   0;   4.7;   5.2; 1004.70;    1.6;   72.00;    5.0;    0.2;    0.7;eor
       3815;19520314;-999;-999;-999;    5;   0.0;   0;    9.600;   0;   0.7;   3.9; 1014.70;    0.6;   62.00;    5.1;   -4.2;   -7.7;eor
       3815;19520315;-999;-999;-999;    5;   0.0;   0;    9.700;   0;   2.0;   4.0; 1006.30;    2.2;   59.00;    8.1;   -4.7;   -7.5;eor
       3815;19520316;-999;-999;-999;    5;   0.0;   0;    8.000;   0;   3.7;   6.8; 1000.70;    7.6;   66.00;   14.0;   -1.5;   -5.1;eor
       3815;19520317;-999;-999;-999;    5;   0.0;   1;    1.700;   0;   5.0;   9.7; 1004.20;    8.6;   86.00;   12.2;    6.0;    4.2;eor
       3815;19520318;-999;-999;-999;    5;   0.0;   0;    4.500;   0;   3.3;   8.4; 1005.40;    7.2;   83.00;   13.6;    0.4;   -0.3;eor
       3815;19520319;-999;-999;-999;    5;   0.0;   0;    8.800;   0;   0.7;   6.4; 1004.80;    5.2;   72.00;   11.2;    1.0;   -0.8;eor
       3815;19520320;-999;-999;-999;    5;   9.2;   1;    0.000;   0;   7.7;   8.5;  995.50;    6.4;   89.00;    9.3;    1.5;   -1.0;eor
       3815;19520321;-999;-999;-999;    5;   3.1;   1;    0.000;   0;   7.7;   6.8; 1000.20;    3.6;   84.00;    8.0;    2.3;    4.2;eor
       3815;19520322;-999;-999;-999;    5;   7.9;   1;    0.000;   0;   5.3;   8.7;  991.90;    5.8;   90.00;   10.0;    2.1;    1.0;eor
